,date,annual_return,high_low,Investment
305,2021-12-03,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
306,2021-12-06,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
307,2021-12-07,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
308,2021-12-08,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
309,2021-12-09,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
310,2021-12-10,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
311,2021-12-13,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
312,2021-12-14,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
313,2021-12-15,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
314,2021-12-16,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
315,2021-12-17,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
316,2021-12-20,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
317,2021-12-21,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
318,2021-12-22,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
319,2021-12-23,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
320,2021-12-24,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
321,2021-12-27,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
322,2021-12-28,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
323,2021-12-29,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
324,2021-12-30,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
325,2021-12-31,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
326,2022-01-03,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
327,2022-01-04,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
328,2022-01-05,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
329,2022-01-06,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
330,2022-01-07,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
331,2022-01-10,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
332,2022-01-11,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
333,2022-01-12,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
334,2022-01-13,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
335,2022-01-14,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
336,2022-01-17,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
337,2022-01-18,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
338,2022-01-19,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
339,2022-01-20,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
340,2022-01-21,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
341,2022-01-24,56.18962850000001,"[-13.308199125000003, 56.18962850000001]",1500000
342,2022-01-25,61.07037903846154,"[-7.585438250000007, 61.07037903846154]",1300000
343,2022-01-27,61.07037903846154,"[-7.585438250000007, 61.07037903846154]",1300000
